,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter,change,interest_year,vacancy_year,adj_price_year,adj_value_year
2008-09-27,6.09,9.9,218.877,170000.0,191748.4651482811,77669.1931998337,87605.57991396131,70777.08521089212,0,0.9934747145187602,0.9911327231121281,0.9426910854181685,0.9567631107971623
2008-10-04,6.1,10.1,216.995,170000.0,189890.778823241,78342.81895896219,87509.28769015001,71673.59495689676,0,0.9952413324269205,1.0108423686405337,0.9521665762420403,0.9568886781849153
2008-10-11,5.94,10.1,216.995,167651.0,189890.778823241,77260.30553699394,87509.28769015001,70777.08521089212,0,0.9699457169336688,1.0105462412114656,0.9405602769634273,0.9580049175985104
2008-10-18,6.46,10.1,216.995,170000.0,189890.778823241,78342.81895896219,87509.28769015001,73136.32138458853,0,1.053336193949796,1.010265859436694,0.9549012009216966,0.9590648124887428
2008-10-25,6.04,10.1,216.995,165000.0,189890.778823241,76038.61840134565,87509.28769015001,69920.78230413013,0,0.9852356853067882,1.01,0.9285583261463201,0.9600725239962863
2008-11-01,6.46,10.1,216.995,169000.0,188072.94723414743,77881.97884743888,86671.55797790154,69531.04064314425,0,1.0523315007126859,1.0097475631092225,0.9522336786985541,0.9520507910942361
2008-11-08,6.2,10.1,213.153,160000.0,188072.94723414743,75063.45207433158,88233.7791324295,70520.20403845701,0,1.0097318768619663,1.0095075572891272,0.9196169455039834,0.969939510690034
2008-11-15,6.14,10.1,213.153,161850.0,188072.94723414743,75931.37323894104,88233.7791324295,72870.87750640558,0,0.9999612237775796,1.0092790863668806,0.93179746543396,0.9706342187747333
2008-11-22,6.04,10.1,213.153,160000.0,188072.94723414743,75063.45207433158,88233.7791324295,70589.89623285254,0,0.9840488008183988,1.009061338289963,0.9228390065200017,0.9712975422894196
2008-12-06,5.53,10.1,211.398,160000.0,186271.3243642214,75686.61955174599,88114.04287846688,70589.89623285254,0,0.9029911675202257,1.0088535754824064,0.9319723879568426,0.9706417126450544
2008-12-13,5.47,10.1,211.398,158000.0,186271.3243642214,74740.53680734917,88114.04287846688,71060.49554107155,0,0.8953188084239624,1.0086551264980026,0.9219551523682326,0.9712753789044914
2008-12-20,5.19,10.1,211.398,160000.0,186271.3243642214,75686.61955174599,88114.04287846688,70589.89623285254,0,0.8522775953162931,1.0084653787714348,0.9349745685100993,0.9718822691203594
2009-01-03,5.1,10.1,211.933,160000.0,184513.6621742147,75495.55755828493,87062.26126852105,72869.50716706863,0,0.8404038987448287,1.0082837723024638,0.9339533789136225,0.9610935040382762
2009-01-10,5.01,10.1,211.933,150000.0,184513.6621742147,70777.08521089212,87062.26126852105,69108.50034554249,0,0.8285842263032767,1.008109794135995,0.8778567469319417,0.9618731522448075
2009-01-17,4.96,10.1,211.933,151900.0,184513.6621742147,71673.59495689676,87062.26126852105,70408.39832823246,0,0.8233341237846811,1.0079429735234215,0.8909950738962769,0.9626221675269928
